entity_id,name,type,status,owner_id,description,priority,risk_level,properties,created_at,updated_at
proj-7,Migrate onboarding flow 7,Project,completed,dakota.abara26@example.com,A scoped body of work delivering a specific outcome within an initiative.,low,medium,"{""org_unit"": ""Data""}",2025-01-03T19:29:00,
proj-8,Refactor billing pipeline 8,Project,at_risk,elliot.wexler10@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,critical,"{""org_unit"": ""Growth""}",2025-01-03T19:30:00,
proj-9,Automate data warehouse 9,Project,completed,peyton.xu12@example.com,A scoped body of work delivering a specific outcome within an initiative.,high,medium,"{""org_unit"": ""Platform""}",2025-01-03T19:31:00,
proj-10,Automate data warehouse 10,Project,completed,peyton.xu12@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,high,"{""org_unit"": ""Data""}",2025-01-03T19:32:00,
proj-11,Automate support portal 11,Project,blocked,marlowe.pierce32@example.com,A scoped body of work delivering a specific outcome within an initiative.,medium,low,"{""org_unit"": ""Platform""}",2025-01-03T19:33:00,
proj-12,Rebuild mobile app 12,Project,completed,riley.delgado16@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,low,"{""org_unit"": ""EMEA""}",2025-01-03T19:34:00,
proj-13,Refactor data warehouse 13,Project,at_risk,frankie.quaid22@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,critical,"{""org_unit"": ""Growth""}",2025-01-03T19:35:00,
proj-14,Migrate analytics events 14,Project,at_risk,riley.delgado16@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,medium,"{""org_unit"": ""Data""}",2025-01-03T19:36:00,
proj-15,Migrate support portal 15,Project,completed,riley.osei27@example.com,A scoped body of work delivering a specific outcome within an initiative.,medium,low,"{""org_unit"": ""Data""}",2025-01-03T19:37:00,
proj-16,Launch support portal 16,Project,at_risk,marlowe.pierce32@example.com,A scoped body of work delivering a specific outcome within an initiative.,medium,critical,"{""org_unit"": ""Data""}",2025-01-03T19:38:00,
proj-17,Rebuild search index 17,Project,at_risk,emerson.cortez35@example.com,A scoped body of work delivering a specific outcome within an initiative.,low,medium,"{""org_unit"": ""Data""}",2025-01-03T19:39:00,
proj-18,Consolidate auth service 18,Project,completed,casey.pierce25@example.com,A scoped body of work delivering a specific outcome within an initiative.,medium,medium,"{""org_unit"": ""EMEA""}",2025-01-03T19:40:00,
proj-19,Consolidate support portal 19,Project,completed,denny.reyes37@example.com,A scoped body of work delivering a specific outcome within an initiative.,low,critical,"{""org_unit"": ""EMEA""}",2025-01-03T19:41:00,
proj-20,Consolidate checkout flow 20,Project,in_progress,morgan.estrada13@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,high,"{""org_unit"": ""Data""}",2025-01-03T19:42:00,
proj-21,Rebuild support portal 21,Project,completed,cameron.huxley5@example.com,A scoped body of work delivering a specific outcome within an initiative.,high,medium,"{""org_unit"": ""Growth""}",2025-01-03T19:43:00,
proj-22,Migrate search index 22,Project,at_risk,drew.pierce1@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,critical,"{""org_unit"": ""EMEA""}",2025-01-03T19:44:00,
proj-23,Rebuild analytics events 23,Project,at_risk,harper.zabala36@example.com,A scoped body of work delivering a specific outcome within an initiative.,low,critical,"{""org_unit"": ""Growth""}",2025-01-03T19:45:00,
proj-24,Refactor analytics events 24,Project,not_started,kendall.sato9@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,critical,"{""org_unit"": ""Growth""}",2025-01-03T19:46:00,
proj-25,Refactor partner API 25,Project,at_risk,avery.zabala11@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,medium,"{""org_unit"": ""Platform""}",2025-01-03T19:47:00,
proj-26,Rebuild checkout flow 26,Project,blocked,wren.keller29@example.com,A scoped body of work delivering a specific outcome within an initiative.,medium,critical,"{""org_unit"": ""EMEA""}",2025-01-03T19:48:00,
proj-27,Automate onboarding flow 27,Project,at_risk,emerson.cortez35@example.com,A scoped body of work delivering a specific outcome within an initiative.,low,high,"{""org_unit"": ""Growth""}",2025-01-03T19:49:00,
proj-28,Consolidate checkout flow 28,Project,in_progress,sage.grant17@example.com,A scoped body of work delivering a specific outcome within an initiative.,medium,critical,"{""org_unit"": ""Platform""}",2025-01-03T19:50:00,
proj-29,Rebuild reporting dashboard 29,Project,completed,quinn.zabala18@example.com,A scoped body of work delivering a specific outcome within an initiative.,medium,low,"{""org_unit"": ""Growth""}",2025-01-03T19:51:00,
proj-30,Rebuild notification system 30,Project,in_progress,kendall.sato9@example.com,A scoped body of work delivering a specific outcome within an initiative.,high,low,"{""org_unit"": ""EMEA""}",2025-01-03T19:52:00,
proj-31,Launch partner API 31,Project,at_risk,dakota.abara26@example.com,A scoped body of work delivering a specific outcome within an initiative.,low,low,"{""org_unit"": ""Growth""}",2025-01-03T19:53:00,
proj-32,Automate mobile app 32,Project,not_started,dakota.abara26@example.com,A scoped body of work delivering a specific outcome within an initiative.,low,critical,"{""org_unit"": ""Platform""}",2025-01-03T19:54:00,
proj-33,Launch notification system 33,Project,at_risk,frankie.quaid22@example.com,A scoped body of work delivering a specific outcome within an initiative.,high,critical,"{""org_unit"": ""Growth""}",2025-01-03T19:55:00,
proj-34,Automate checkout flow 34,Project,not_started,sage.grant17@example.com,A scoped body of work delivering a specific outcome within an initiative.,low,high,"{""org_unit"": ""EMEA""}",2025-01-03T19:56:00,
proj-35,Automate onboarding flow 35,Project,blocked,elliot.wexler10@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,critical,"{""org_unit"": ""Platform""}",2025-01-03T19:57:00,
proj-36,Refactor notification system 36,Project,in_progress,cameron.huxley5@example.com,A scoped body of work delivering a specific outcome within an initiative.,low,medium,"{""org_unit"": ""Platform""}",2025-01-03T19:58:00,
proj-37,Automate data warehouse 37,Project,in_progress,riley.delgado16@example.com,A scoped body of work delivering a specific outcome within an initiative.,low,high,"{""org_unit"": ""Data""}",2025-01-03T19:59:00,
proj-38,Launch notification system 38,Project,completed,gale.pierce24@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,critical,"{""org_unit"": ""Platform""}",2025-01-03T20:00:00,
proj-39,Migrate data warehouse 39,Project,in_progress,casey.ingram34@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,low,"{""org_unit"": ""Platform""}",2025-01-03T20:01:00,
proj-40,Rebuild auth service 40,Project,blocked,kip.yates15@example.com,A scoped body of work delivering a specific outcome within an initiative.,high,medium,"{""org_unit"": ""Growth""}",2025-01-03T20:02:00,
proj-41,Refactor billing pipeline 41,Project,blocked,skyler.quaid30@example.com,A scoped body of work delivering a specific outcome within an initiative.,high,critical,"{""org_unit"": ""Data""}",2025-01-03T20:03:00,
proj-42,Rebuild mobile app 42,Project,blocked,wren.zabala23@example.com,A scoped body of work delivering a specific outcome within an initiative.,critical,medium,"{""org_unit"": ""Data""}",2025-01-03T20:04:00,
proj-43,Consolidate auth service 43,Project,completed,gale.nakamura6@example.com,A scoped body of work delivering a specific outcome within an initiative.,low,critical,"{""org_unit"": ""Growth""}",2025-01-03T20:05:00,
task-0,Review index 0,Task,in_progress,gale.nakamura6@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:02:00,
task-1,Review index 1,Task,not_started,frankie.quaid22@example.com,A unit of work within a project.,low,,{},2025-01-04T12:03:00,
task-2,Document API contract 2,Task,at_risk,sawyer.foster21@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:04:00,
task-3,Fix dashboard panel 3,Task,not_started,riley.osei27@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:05:00,
task-4,Update load test 4,Task,blocked,avery.zabala11@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:06:00,
task-5,Update dashboard panel 5,Task,blocked,denny.reyes37@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:07:00,
task-6,Document rollback plan 6,Task,not_started,sage.grant17@example.com,A unit of work within a project.,low,,{},2025-01-04T12:08:00,
task-7,Test dashboard panel 7,Task,at_risk,kendall.ingram39@example.com,A unit of work within a project.,low,,{},2025-01-04T12:09:00,
task-8,Document schema migration 8,Task,blocked,marlowe.xu20@example.com,A unit of work within a project.,high,,{},2025-01-04T12:10:00,
task-9,Update rollback plan 9,Task,completed,riley.delgado16@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:11:00,
task-10,Design index 10,Task,completed,emerson.cortez35@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:12:00,
task-11,Test API contract 11,Task,in_progress,dakota.abara26@example.com,A unit of work within a project.,low,,{},2025-01-04T12:13:00,
task-12,Test dashboard panel 12,Task,blocked,elliot.gable28@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:14:00,
task-13,Review config 13,Task,in_progress,casey.pierce25@example.com,A unit of work within a project.,high,,{},2025-01-04T12:15:00,
task-14,Design index 14,Task,completed,skyler.quaid30@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:16:00,
task-15,Fix alert rule 15,Task,completed,frankie.quaid22@example.com,A unit of work within a project.,low,,{},2025-01-04T12:17:00,
task-16,Design config 16,Task,completed,harper.grant14@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:18:00,
task-17,Test integration test 17,Task,not_started,casey.ingram34@example.com,A unit of work within a project.,high,,{},2025-01-04T12:19:00,
task-18,Test rollback plan 18,Task,blocked,sage.grant17@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:20:00,
task-19,Review rollback plan 19,Task,completed,harper.grant14@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:21:00,
task-20,Deploy config 20,Task,not_started,casey.ingram34@example.com,A unit of work within a project.,high,,{},2025-01-04T12:22:00,
task-21,Design schema migration 21,Task,not_started,emerson.cortez35@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:23:00,
task-22,Deploy dashboard panel 22,Task,not_started,rowan.carter0@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:24:00,
task-23,Update dashboard panel 23,Task,blocked,sawyer.foster21@example.com,A unit of work within a project.,high,,{},2025-01-04T12:25:00,
task-24,Write config 24,Task,blocked,cameron.duvall7@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:26:00,
task-25,Fix dashboard panel 25,Task,not_started,harper.zabala36@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:27:00,
task-26,Deploy load test 26,Task,at_risk,wren.yates19@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:28:00,
task-27,Test API contract 27,Task,at_risk,dakota.abara26@example.com,A unit of work within a project.,high,,{},2025-01-04T12:29:00,
task-28,Fix dashboard panel 28,Task,blocked,wren.yates19@example.com,A unit of work within a project.,low,,{},2025-01-04T12:30:00,
task-29,Design index 29,Task,at_risk,ira.cortez3@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:31:00,
task-30,Test rollback plan 30,Task,completed,cameron.huxley5@example.com,A unit of work within a project.,high,,{},2025-01-04T12:32:00,
task-31,Test load test 31,Task,at_risk,taylor.grant4@example.com,A unit of work within a project.,high,,{},2025-01-04T12:33:00,
task-32,Write runbook 32,Task,blocked,rowan.jovanovic38@example.com,A unit of work within a project.,low,,{},2025-01-04T12:34:00,
task-33,Design schema migration 33,Task,in_progress,quinn.zabala18@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:35:00,
task-34,Update API contract 34,Task,in_progress,riley.delgado16@example.com,A unit of work within a project.,high,,{},2025-01-04T12:36:00,
task-35,Fix API contract 35,Task,at_risk,harper.grant14@example.com,A unit of work within a project.,high,,{},2025-01-04T12:37:00,
task-36,Design load test 36,Task,not_started,ira.cortez3@example.com,A unit of work within a project.,high,,{},2025-01-04T12:38:00,
task-37,Design index 37,Task,at_risk,quinn.zabala18@example.com,A unit of work within a project.,low,,{},2025-01-04T12:39:00,
task-38,Review dashboard panel 38,Task,completed,casey.pierce25@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:40:00,
task-39,Update dashboard panel 39,Task,not_started,rowan.jovanovic38@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:41:00,
task-40,Fix integration test 40,Task,at_risk,riley.delgado16@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:42:00,
task-41,Review rollback plan 41,Task,at_risk,denny.reyes37@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:43:00,
task-42,Design index 42,Task,not_started,avery.zabala11@example.com,A unit of work within a project.,low,,{},2025-01-04T12:44:00,
task-43,Update config 43,Task,in_progress,denny.reyes37@example.com,A unit of work within a project.,low,,{},2025-01-04T12:45:00,
task-44,Update API contract 44,Task,blocked,frankie.quaid22@example.com,A unit of work within a project.,low,,{},2025-01-04T12:46:00,
task-45,Document integration test 45,Task,not_started,elliot.wexler10@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:47:00,
task-46,Fix dashboard panel 46,Task,completed,casey.pierce25@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:48:00,
task-47,Update API contract 47,Task,completed,riley.delgado16@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:49:00,
task-48,Review runbook 48,Task,at_risk,rowan.carter0@example.com,A unit of work within a project.,low,,{},2025-01-04T12:50:00,
task-49,Fix schema migration 49,Task,in_progress,cy.gable33@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:51:00,
task-50,Update dashboard panel 50,Task,not_started,morgan.estrada13@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:52:00,
task-51,Deploy config 51,Task,blocked,ira.cortez31@example.com,A unit of work within a project.,critical,,{},2025-01-04T12:53:00,
task-52,Write index 52,Task,in_progress,elliot.wexler10@example.com,A unit of work within a project.,medium,,{},2025-01-04T12:54:00,
task-53,Write alert rule 53,Task,blocked,cameron.huxley5@example.com,A unit of work within a project.,high,,{},2025-01-04T12:55:00,
task-54,Review dashboard panel 54,Task,not_started,kendall.sato9@example.com,A unit of work within a project.,low,,{},2025-01-04T12:56:00,
task-55,Design alert rule 55,Task,completed,dakota.abara26@example.com,A unit of work within a project.,low,,{},2025-01-04T12:57:00,
task-56,Update rollback plan 56,Task,blocked,emerson.cortez35@example.com,A unit of work within a project.,high,,{},2025-01-04T12:58:00,
task-57,Fix rollback plan 57,Task,at_risk,marlowe.pierce32@example.com,A unit of work within a project.,high,,{},2025-01-04T12:59:00,
task-58,Review config 58,Task,blocked,sawyer.foster21@example.com,A unit of work within a project.,medium,,{},2025-01-04T13:00:00,
task-59,Write config 59,Task,completed,denny.reyes37@example.com,A unit of work within a project.,low,,{},2025-01-04T13:01:00,
